Specify the design of the VTS experiment whereby:
 - onsets = list describing the onsets of stimulations in sec
 - outputlist = array of which outputs need to be used at each onset (if more than one output used per onset put a comma between and seperate via semicolon)
 - amplitude = list describing the amplitude per onset
 - frequency = list describing frequency per onset in Hz
 - ondur = on duration of vibration in a stimulus in sec
 - offdur = off duration between vibration within a stimulus in sec
 - stimdur = total duration of the whole stimulus (needs to add up ondur and offdur couple of times) 

onsets 	| outputs| amplitude	| frequency         | ondur		|offdur		|stimdur
521;          17;     2;              30;              1.0;        0.0;       1.0;
527.2;		12,7;	2;				110;             0.32;       0.08;		3.2;
533;          17;     2;              30;              1.0;        0.0;       1.0;
536.8;		10,15;	2;				110;             0.32;       0.08;		3.2;
540;          17;     2;              30;              1.0;        0.0;       1.0;
546.4;		11,14;	2;				110;             0.32;       0.08;		3.2;
548;          17;     2;              30;              1.0;        0.0;       1.0;
556;		4,13;	2;				110;             0.32;       0.08;		3.2;
565.60;		8,3;	2;				110;             0.32;       0.08;		3.2;
575.2;		16,10;	2;				110;             0.32;       0.08;		3.2;
584.8;		2,11;	2;				110;             0.32;       0.08;		3.2;
590;          17;     2;              30;              1.0;        0.0;       1.0;
593;          17;     2;              30;              1.0;        0.0;       1.0;
594.4;		1,6;	2;				110;             0.32;       0.08;		3.2;
596;          17;     2;              30;              1.0;        0.0;       1.0;
604;		15,13;	2;				110;             0.32;       0.08;		3.2;
613.6;		9,4;	2;				110;             0.32;       0.08;		3.2;
623.2;		7,5;	2;				110;             0.32;       0.08;		3.2;
632.8;		12,14;	2;				110;             0.32;       0.08;		3.2;
