Specify the design of the VTS experiment whereby:
 - onsets = list describing the onsets of stimulations in sec
 - outputlist = array of which outputs need to be used at each onset (if more than one output used per onset put a comma between and seperate via semicolon)
 - amplitude = list describing the amplitude per onset
 - frequency = list describing frequency per onset in Hz
 - ondur = on duration of vibration in a stimulus in sec
 - offdur = off duration between vibration within a stimulus in sec
 - stimdur = total duration of the whole stimulus (needs to add up ondur and offdur couple of times) 

onsets 	| outputs                                   | amplitude	| frequency     | ondur		|offdur		|stimdur
191;         17;                                          2;             30;         1.0;        0.0;        1.0;
192.1;    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;      	0.2;	1.2;	2.8;  
196;    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;    		0.2;	0.8;	2.0;
199.916;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;    		0.2;	0.1;	0.6;
200;         17;                                          2;             30;         1.0;        0.0;        1.0;
202.966;   1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;            0.2;	0.4;	1.2;
208.75;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;   		1.2;	0.0;	1.2;
212.833;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;    		0.4;	0.0;	0.4;	
218.45;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;  		0.2;	0.2;	0.8;
221;         17;                                          2;             30;         1.0;        0.0;        1.0;
222.016;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;    		0.2;	0.1;	0.6;
227.283;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;   		0.1;	0.0;	0.1;
232.383;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;       	0.2;	0.0;	0.2;
237.316;   1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;          0.2;	0.4;	1.2;
242.4160;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;   		0.4;	0.0;	0.4;
247.85;   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;   		1.2;	0.0;	1.2;
251.416;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;    		0.2;	0.1;	0.6;
254.816;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;       	0.2;	0.0;	0.2;
256;         17;                                          2;             30;         1.0;        0.0;        1.0;
258.05;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;     		0.05;	0.0;	0.05;
261;         17;                                          2;             30;         1.0;        0.0;        1.0;
264;    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;    		0.8;	0.0;	0.8; 	
265;         17;                                          2;             30;         1.0;        0.0;        1.0;
268.416;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;       0.2;	0.0;	0.2;
274.2;   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;          0.2;	0.4;	1.2;
275;         17;                                          2;             30;         1.0;        0.0;        1.0;
277.95;   1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;  			0.2;	0.2;	0.8;
280;         17;                                          2;             30;         1.0;        0.0;        1.0;
283.216;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;    		0.8;	0.0;	0.8;	
288.816;   1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;  		0.2;	0.2;	0.8;
294.266;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;      	0.2;	1.2;	2.8;
297.316;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;      	0.2;	1.2;	2.8;
301.566;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;      	0.2;	0.8;	2.0;	
306.5;   1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;   			0.2;	0.05;	0.5;
309;         17;                                          2;             30;         1.0;        0.0;        1.0;
310.75;   1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;   		0.2;	0.05;	0.5;
314.15;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;     		0.05;	0.0;	0.05;
315;         17;                                          2;             30;         1.0;        0.0;        1.0;
317.383;   1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;   		0.4;	0.0;	0.4;
318;         17;                                          2;             30;         1.0;        0.0;        1.0;
321.116;   1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;     		0.05;	0.0;	0.05;
322;         17;                                          2;             30;         1.0;        0.0;        1.0;
325.55;   1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;         110;   			0.2;	0.05;	0.5;
329.616;   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;      	0.2;	0.8;	2.0;
334.383;  	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;   		1.2;	0.0;	1.2;
336;         17;                                          2;             30;         1.0;        0.0;        1.0;
338.966;    1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;        2;          110;   		0.1;	0.0;	0.1;
